Unnamed: 0,category,title,split
74839,Business,"prosecutor merrill lynch , enron execs conspired",train
59243,Business,ny times profit slips as ad sales uneven,train
86445,Business,"nc should cheer dell deal , but we must weigh wisdom of incentive lt b gt . . . lt b gt ",train
15996,Business,"shareholders the losers , report charges",train
57342,Business,nevada utilities win a chance to shed million enron bill,train
22294,Business,"delta slashes , jobs , dallas hub",train
6273,Business,coming it that adapts to users requirements,train
104100,Business,"eu nations cling to biotech bans on monsanto , syngenta , bayer",train
23708,Business,no warning for procter gamble,train
13635,Business,"jobs of british airways directors under threat , telegraph says",train
11537,Business,court reinstates sav on suit report,train
109615,Business,johnson amp johnson reportedly in talks to acquire guidant,train
23686,Business,treasuries rally on drop in august ppi,train
34867,Business,update lucent cuts retirees health benefits,train
109994,Business,reliance unit loses anil ambani,train
72305,Business,ata parent hires restructuring officer,train
10656,Business,brown forman earnings jump percent,train
29249,Business,florida examines higher insurance deductibles,train
64764,Business,"state california gained , payroll jobs in september",train
96071,Business,greenspan warns about trade deficit impact ap ,train
49827,Business,crude retreats back below mark,train
101604,Business,"fearing prosecution by kremlin , top executives of yukos leave russia",train
118294,Business,mortgage rates dip this week,train
14582,Business,tiscali announces sells off swedish subsidiary for mln,train
70180,Business,ex cabinet minister caught up in marsh corruption scandal,train
38296,Business,durable goods orders dip in august,train
116637,Business,"job outlook moderately optimistic for , survey finds",train
61435,Business,industrial production inches up in sept . reuters ,train
20781,Business,trial by fire forbes . com ,train
110482,Business,dollar makes gains against euro,train
3123,Business,dollar up a bit against europe currencies,train
11398,Business,toronto dominion makes maine bank deal,train
62441,Business,enron accused im being used to test anti terror laws,train
84614,Business,mandelson calls on eu to reform,train
92507,Business,european chiefs urge us to support dollar,train
67720,Business,sanofi aventis sales up . percent,train
29593,Business,nortel sees lower rd quarter revenue,train
9099,Business,united adds fee for frequent flier phone bookings,train
47290,Business,markets skirt crude oil hikes,train
95631,Business,russian target abramovich hit by m tax bill,train
12066,Business,blackrock gets a piece of met,train
10134,Business,"update fed will be flexible , oil hits growth , guynn says",train
54166,Business,modalities for hiking foreign stake in banking sector soon,train
74463,Business,stocks open near unchanged boeing up,train
82997,Business,no harmony for gold rivals,train
46097,Business,"microsoft had agreed to sanctions , eu official says",train
39583,Business,widely used bike lock can be picked with pen,train
84634,Business,poison pill defence for news corp,train
67595,Business,update qwest to pay m to settle sec charges,train
66931,Business,trump hotels said to reach deal to avoid bankruptcy,train
